Brand,w/c.,value,Volume,Distribution
BAVARIA 250/300/330 can 6 pk,07/05/2017,51933,31900,89
BAVARIA 250/300/330 can 6 pk,14/05/2017,47533,25514,90
BAVARIA 250/300/330 can 6 pk,21/05/2017,52544,27821,91
BAVARIA 250/300/330 can 6 pk,28/05/2017,137805,95256,97
BAVARIA 250/300/330 can 6 pk,04/06/2017,56767,28967,92
BAVARIA 250/300/330 can 6 pk,11/06/2017,51300,26045,90
BAVARIA 250/300/330 can 6 pk,18/06/2017,54956,27954,90
BAVARIA 250/300/330 can 6 pk,25/06/2017,56735,29656,90
BAVARIA 250/300/330 can 6 pk,02/07/2017,58466,29833,90
BAVARIA 250/300/330 can 6 pk,09/07/2017,99840,66643,96
BAVARIA 250/300/330 can 6 pk,16/07/2017,50703,26009,92
BAVARIA 250/300/330 can 6 pk,23/07/2017,60263,35327,91
BAVARIA 250/300/330 can 6 pk,30/07/2017,51110,27825,88
BAVARIA 250/300/330 can 6 pk,06/08/2017,60745,32322,89
BAVARIA 250/300/330 can 6 pk,13/08/2017,50047,27473,89
BAVARIA 250/300/330 can 6 pk,20/08/2017,42867,21950,88
BAVARIA 250/300/330 can 6 pk,27/08/2017,51078,28692,88
BAVARIA 250/300/330 can 6 pk,03/09/2017,51462,28504,89
BAVARIA 250/300/330 can 6 pk,10/09/2017,45446,23590,88
BAVARIA 250/300/330 can 6 pk,17/09/2017,41355,23051,86
BAVARIA 250/300/330 can 6 pk,24/09/2017,46863,24241,89
BAVARIA 250/300/330 can 6 pk,01/10/2017,43073,22178,88
BAVARIA 250/300/330 can 6 pk,08/10/2017,37348,19172,87
BAVARIA 250/300/330 can 6 pk,15/10/2017,101298,68276,96
BAVARIA 250/300/330 can 6 pk,22/10/2017,39628,20560,88
BAVARIA 250/300/330 can 6 pk,29/10/2017,213165,211835,97
BAVARIA 250/300/330 can 6 pk,05/11/2017,44157,24203,89
BAVARIA 250/300/330 can 6 pk,12/11/2017,39035,20451,88
BAVARIA 250/300/330 can 6 pk,19/11/2017,33666,17382,88
BAVARIA 250/300/330 can 6 pk,26/11/2017,39762,20556,86
BAVARIA 250/300/330 can 6 pk,03/12/2017,38597,20018,88
BAVARIA 250/300/330 can 6 pk,10/12/2017,39240,20436,87
BAVARIA 250/300/330 can 6 pk,17/12/2017,34454,18107,86
BAVARIA 250/300/330 can 6 pk,24/12/2017,45130,23578,90
BAVARIA 250/300/330 can 6 pk,31/12/2017,37814,19903,85
BAVARIA 250/300/330 can 6 pk,07/01/2018,29269,15410,86
BAVARIA 250/300/330 can 6 pk,14/01/2018,35764,18640,87
BAVARIA 250/300/330 can 6 pk,21/01/2018,73547,48296,95
BAVARIA 250/300/330 can 6 pk,28/01/2018,41061,20790,89
BAVARIA 250/300/330 can 6 pk,04/02/2018,41022,19838,88
BAVARIA 250/300/330 can 6 pk,11/02/2018,67307,38432,87
BAVARIA 250/300/330 can 6 pk,18/02/2018,36451,18436,86
BAVARIA 250/300/330 can 6 pk,25/02/2018,36980,18780,87
BAVARIA 250/300/330 can 6 pk,04/03/2018,37655,20875,85
BAVARIA 250/300/330 can 6 pk,11/03/2018,31469,15288,83
BAVARIA 250/300/330 can 6 pk,18/03/2018,86798,69023,96
BAVARIA 250/300/330 can 6 pk,25/03/2018,36380,18620,88
BAVARIA 250/300/330 can 6 pk,01/04/2018,43196,22669,89
BAVARIA 250/300/330 can 6 pk,08/04/2018,39737,20598,85
BAVARIA 250/300/330 can 6 pk,15/04/2018,47190,24114,86
BAVARIA 250/300/330 can 6 pk,22/04/2018,114468,74387,96
BAVARIA 250/300/330 can 6 pk,29/04/2018,39002,19151,84
BAVARIA 250/300/330 can 6 pk,06/05/2018,43586,24348,85
BAVARIA 250/300/330 can 6 pk,13/05/2018,45734,22285,88
BAVARIA 250/300/330 can 6 pk,20/05/2018,39888,20087,85
BAVARIA 250/300/330 can 6 pk,27/05/2018,91770,54444,97
BAVARIA 250/300/330 can 6 pk,03/06/2018,41657,20167,88
BAVARIA 250/300/330 can 6 pk,10/06/2018,40112,19432,86
BAVARIA 250/300/330 can 6 pk,17/06/2018,38934,18995,85
BAVARIA 250/300/330 can 6 pk,24/06/2018,36996,17919,83
BAVARIA 250/300/330 can 6 pk,01/07/2018,48376,23313,89
BAVARIA 250/300/330 can 6 pk,08/07/2018,43566,21008,86
BAVARIA 250/300/330 can 6 pk,15/07/2018,94522,60220,96
BAVARIA 250/300/330 can 6 pk,22/07/2018,43523,21180,89
BAVARIA 250/300/330 can 6 pk,29/07/2018,49366,23859,90
BAVARIA 250/300/330 can 6 pk,05/08/2018,45487,22410,84
BAVARIA 250/300/330 can 6 pk,12/08/2018,39455,19189,85
BAVARIA 250/300/330 can 6 pk,19/08/2018,30768,14908,82
BAVARIA 250/300/330 can 6 pk,26/08/2018,35291,17070,81
BAVARIA 250/300/330 can 6 pk,02/09/2018,33226,16040,83
BAVARIA 250/300/330 can 6 pk,09/09/2018,70267,44546,96
BAVARIA 250/300/330 can 6 pk,16/09/2018,37150,18050,87
BAVARIA 250/300/330 can 6 pk,23/09/2018,31871,15379,82
BAVARIA 250/300/330 can 6 pk,30/09/2018,28949,15054,80
BAVARIA 250/300/330 can 6 pk,07/10/2018,30444,14745,82
BAVARIA 250/300/330 can 6 pk,14/10/2018,35246,17074,84
BAVARIA 250/300/330 can 6 pk,21/10/2018,50629,32039,93
BAVARIA 250/300/330 can 6 pk,28/10/2018,31016,15006,84
BAVARIA 250/300/330 can 6 pk,04/11/2018,29713,14300,82
BAVARIA 250/300/330 can 6 pk,11/11/2018,31999,15434,83
BAVARIA 250/300/330 can 6 pk,18/11/2018,28225,13551,81
BAVARIA 250/300/330 can 6 pk,25/11/2018,70614,44889,95
BAVARIA 250/300/330 can 6 pk,02/12/2018,30367,14747,84
BAVARIA 250/300/330 can 6 pk,09/12/2018,31694,15496,82
BAVARIA 250/300/330 can 6 pk,16/12/2018,28830,14331,78
BAVARIA 250/300/330 can 6 pk,23/12/2018,35628,17303,85
BAVARIA 250/300/330 can 6 pk,30/12/2018,33202,16983,81
BAVARIA 250/300/330 can 6 pk,06/01/2019,30293,14898,81
BAVARIA 250/300/330 can 6 pk,13/01/2019,27099,13104,80
BAVARIA 250/300/330 can 6 pk,20/01/2019,96488,71078,94
BAVARIA 250/300/330 can 6 pk,27/01/2019,30691,15927,81
BAVARIA 250/300/330 can 6 pk,03/02/2019,29572,13981,82
BAVARIA 250/300/330 can 6 pk,10/02/2019,32048,15117,79
